# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-09-25T22:47:44Z · 4350 entries · 2588 proved this run
# Density: 168/600 of a random sample worked on re-check (28%, measured 2026-09-25) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://41.196.16.234:1981 | EG | 1177ms | 0d
http://45.240.232.61:8080 | EG | 6660ms | 1d
http://84.36.141.180:1976 | EG | 4076ms | 1d
http://154.236.179.229:1976 | EG | 4093ms | 0d
http://154.236.179.229:1981 | EG | 6528ms | 0d
http://156.200.116.78:8080 | EG | 1923ms | 0d
http://196.204.3.22:1976 | EG | 5336ms | 0d
http://196.204.26.243:1976 | EG | 7251ms | 0d
http://196.204.26.243:1981 | EG | 1214ms | 0d
http://196.219.64.253:8080 | EG | 3795ms | 2d
http://197.164.101.13:1976 | EG | 2554ms | 1d
http://197.164.101.13:1981 | EG | 4825ms | 2d
http://197.164.101.14:1976 | EG | 2819ms | 0d
http://197.164.101.14:1981 | EG | 2816ms | 1d
http://213.131.85.30:1976 | EG | 1282ms | 2d
http://213.131.85.30:1981 | EG | 1342ms | 2d
http://15.217.107.97:22922 | ES | 4380ms | 2d
http://15.217.214.40:41371 | ES | 2245ms | 2d
http://15.217.214.40:56263 | ES | 1562ms | 0d
http://51.49.153.183:12345 | ES | 2289ms | 0d
http://51.94.221.175:1857 | ES | 1421ms | 1d
http://77.225.198.220:9812 | ES | 1757ms | 1d
http://90.161.220.67:3128 | ES | 5579ms | 2d
http://185.174.80.7:3128 | ES | 3354ms | 0d
http://193.38.224.169:8081 | ES | 7942ms | 0d
http://34.88.38.81:9443 | FI | 866ms | 7d
http://35.228.49.168:9443 | FI | 896ms | 7d
http://46.243.1.99:3128 | FI | 6409ms | 0d
http://65.21.201.149:8081 | FI | 1832ms | 0d
http://65.108.159.129:8081 | FI | 4271ms | 1d
http://77.221.158.175:3128 | FI | 5062ms | 1d
http://193.29.225.77:8080 | FI | 2140ms | 0d
http://13.38.27.183:10000 | FR | 2179ms | 0d
http://13.38.27.183:26602 | FR | 4547ms | 1d
http://15.237.108.20:8378 | FR | 2712ms | 0d
http://15.237.108.20:9991 | FR | 1152ms | 1d
http://37.59.125.131:8888 | FR | 1520ms | 1d
http://37.187.92.9:1031 | FR | 1604ms | 0d
http://52.47.115.41:9012 | FR | 1267ms | 1d
http://79.137.78.133:8011 | FR | 953ms | 1d
http://79.137.78.133:8014 | FR | 919ms | 1d
http://91.134.141.4:3128 | FR | 905ms | 4d
http://109.123.254.197:3128 | FR | 2798ms | 2d
http://167.86.104.220:80 | FR | 816ms | 1d
http://167.86.111.116:3128 | FR | 2897ms | 1d
http://213.32.70.99:3128 | FR | 1652ms | 11d
http://217.182.195.221:30003 | FR | 2216ms | 2d
http://217.182.195.221:30005 | FR | 4089ms | 0d
http://217.182.195.221:30006 | FR | 1506ms | 0d
http://217.182.195.221:30008 | FR | 877ms | 0d
http://18.170.25.193:4238 | GB | 1170ms | 0d
http://18.170.25.193:9898 | GB | 1855ms | 0d
http://18.170.45.5:34702 | GB | 2659ms | 1d
http://18.170.45.5:47098 | GB | 882ms | 1d
